Namespace(class_idx=4, complexity='0.01,0.1,1.0,10.0', data='./feature/DEEPCP.POSE.func.indiv.nan.delta.h5', error_file=None, feat_select=True, feature_analysis=False, fs_by_rf=True, fs_by_valid=True, ignore_idx=None, log_file='./output/svmrank.pose.delta.fs_by_rf.30.txt', max_feat=30, pairwise=False, rf_n_estimator=500, spearmanr=False, test_idx='0', train_idx=None, valid_idx='1', window_idx=3)
selected feature by RF
(0, 0.0021555761316443783)
(1, 0.0017174770724403458)
(2, 0.001958512936676276)
(3, 0.0023880168882076014)
(4, 0.0021584099228739982)
(5, 0.0019767964681865146)
(6, 0.0025203533275249225)
(7, 0.0025473159499532099)
(8, 0.001967936502350926)
(9, 0.0021272294018950559)
(10, 0.0025872756855740294)
(11, 0.0017156951519953698)
(12, 0.0023733593730468384)
(13, 0.0017069939217610206)
(14, 0.0020440239711073311)
(15, 0.0031304411377192486)
(16, 0.0020679468702770637)
(17, 0.0019858815813508816)
(18, 0.0025359473693202664)
(19, 0.002143494560992219)
(20, 0.0023770198978804204)
(21, 0.002223536217964834)
(22, 0.0023454471426039916)
(23, 0.0025181384090796626)
(24, 0.0023349192778573378)
(25, 0.0022835406362064518)
(26, 0.0022987887996615288)
(27, 0.0021424686946082609)
(28, 0.0020637772020375357)
(29, 0.0023145566520848958)
(30, 0.002440680529170184)
(31, 0.0027278275357923367)
(32, 0.0021952469995486523)
(33, 0.0016737095818749363)
(34, 0.0021348113955247457)
(35, 0.0020212840360698411)
(36, 0.0022428824726554077)
(37, 0.0019374789366985992)
(38, 0.0017216053967837007)
(39, 0.0026107942048721115)
(40, 0.0023104859359888365)
(41, 0.0018992743041685931)
(42, 0.0024445225636340055)
(43, 0.0022664480859718363)
(44, 0.0021721021255903779)
(45, 0.0018172143882450829)
(46, 0.0021636643641638658)
(47, 0.0026137512028540423)
(48, 0.0019432828236141053)
(49, 0.0017986171868246096)
(50, 0.0024479764387345991)
(51, 0.0021722989338010764)
(52, 0.0021856617105773398)
(53, 0.0021307531509580026)
(54, 0.0028695830839307384)
(55, 0.0027213794498431422)
(56, 0.0022177628410967624)
(57, 0.0018876753407713427)
(58, 0.0026384493711288826)
(59, 0.0022031777263487053)
(60, 0.0023611673994024373)
(61, 0.0023161480242323896)
(62, 0.0023486444516620467)
(63, 0.0026930049286125026)
(64, 0.0019497984436218304)
(65, 0.0022143082942704356)
(66, 0.0019658422077183115)
(67, 0.0017816745847215052)
(68, 0.0020794727854744548)
(69, 0.0020803031689554988)
(70, 0.0023694847331884273)
(71, 0.0024280694200624563)
(72, 0.0018889124248238469)
(73, 0.0017866526468463023)
(74, 0.0025530071428066618)
(75, 0.0018585092067167444)
(76, 0.0021075442549893294)
(77, 0.0017404245387907865)
(78, 0.0024412510646102874)
(79, 0.0027450601981180911)
(80, 0.0019216055469592954)
(81, 0.0021249559798114958)
(82, 0.0021097202757178459)
(83, 0.002012171162209515)
(84, 0.0021354085402455563)
(85, 0.0019931102739443557)
(86, 0.002202230421579016)
(87, 0.0028894624261827464)
(88, 0.0022739214059876878)
(89, 0.0020465450884343465)
(90, 0.0025275040629385462)
(91, 0.0022592235998401271)
(92, 0.0022362771503877934)
(93, 0.0019369687446599278)
(94, 0.0029151837534785981)
(95, 0.0031807821835610033)
(96, 0.002081252698378791)
(97, 0.0017739077803624757)
(98, 0.0024705387198856116)
(99, 0.0020483811234922236)
(100, 0.0023754965605576397)
(101, 0.001959540788866853)
(102, 0.002139836908597923)
(103, 0.0031212167095801264)
(104, 0.0023835289878401961)
(105, 0.0024414730853084625)
(106, 0.0022155139150831248)
(107, 0.0025841272767473528)
(108, 0.0026383447761954503)
(109, 0.0024676173250769034)
(110, 0.001731386018416183)
(111, 0.0025855188072642604)
(112, 0.0024045774013445351)
(113, 0.0016635484581200158)
(114, 0.0022473331544022321)
(115, 0.0017015547687202488)
(116, 0.0021308862176943133)
(117, 0.0019608460038259392)
(118, 0.0014210940308863485)
(119, 0.0019607871364949294)
(120, 0.001649939022427209)
(121, 0.0020908593148550717)
(122, 0.0017067986789866547)
(123, 0.0017037050597145788)
(124, 0.002172149173663923)
(125, 0.0017035197786478436)
(126, 0.0014236468244189727)
(127, 0.0021259310449038451)
(128, 0.0)
(129, 0.0)
(130, 0.0)
(131, 0.0)
(132, 0.0)
(133, 0.0)
(134, 0.0)
(135, 0.0)
(136, 5.4542117249707306e-05)
(137, 0.000174922938631916)
(138, 0.0)
(139, 3.9383445596022177e-05)
(140, 0.0)
(141, 0.00010810575293666235)
(142, 0.0)
(143, 3.4492063080161918e-05)
(144, 1.7369543418301564e-05)
(145, 7.5978373749740571e-05)
(146, 0.0)
(147, 0.00012951003162929624)
(148, 0.0)
(149, 0.00010444733919863688)
(150, 0.0)
(151, 0.0)
(152, 0.0)
(153, 6.9102844030394949e-05)
(154, 0.00015122204126311213)
(155, 3.7290819651000688e-05)
(156, 0.0)
(157, 6.8345401154187e-05)
(158, 0.0)
(159, 3.5676990929934579e-05)
(160, 0.00014822399768269119)
(161, 4.3920092437897905e-05)
(162, 0.0)
(163, 0.0)
(164, 0.0)
(165, 0.0)
(166, 0.0)
(167, 0.00017321008033746395)
(168, 0.0)
(169, 3.1248538754291203e-05)
(170, 2.3337493672397917e-05)
(171, 2.9185139469335406e-05)
(172, 0.0)
(173, 5.6886139777353067e-05)
(174, 0.0)
(175, 1.5346332275614458e-05)
(176, 9.6274222004160993e-05)
(177, 0.0)
(178, 3.8290372887373056e-06)
(179, 1.8970536232445267e-05)
(180, 6.0461556351226959e-05)
